Site ID,Date Collected,Quadrat Number,Size mm,Alive/Dead,Number of Drill Holes,Presence of Boring Sponge,Collected for Disease Testing,New Recruit
Nin-1S,5/11/2016 0:00:00,1,36,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,22,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,27,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,30,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,25,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,30,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,27,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,13,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,28,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,37,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,28,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,34,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,35,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,26,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,24,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,25,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,24,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,25,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,16,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,13,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,26,9,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,8,9,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,33,9,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,30,9,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,27,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,14,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,33,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,18,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,26,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,34,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,35,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,25,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,32,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,30,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,26,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,24,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,26,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,23,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,33,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,30,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,32,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,25,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,28,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,29,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,29,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,22,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,29,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,18,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,29,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,2,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,19,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,34,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,26,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,34,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,28,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,26,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,33,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,34,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,14,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,24,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,25,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,37,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,28,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,36,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,24,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,24,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,33,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,26,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,25,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,21,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,22,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,26,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,42,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,22,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,36,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,33,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,33,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,36,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,24,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,38,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,38,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,34,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,25,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,18,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,37,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,38,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,20,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,26,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,17,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,26,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,18,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,42,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,36,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,39,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,34,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,37,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,6,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,33,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,33,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,1,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,38,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,18,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,20,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,36,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,2,23,8,0,0,0,0
